Post Caption,Date,Time,Reach,Impressions,Likes,Saves,Comments,Shares,Profile Visits,Engagement Rate (%),Duration,Total Watch Time,Avg Watch Time (s)
"Average game dev experience... To keep up with our indie game studio, give us a follow! #github #gamedevelopment #indiegames #gamingmemes #funny","Feb 24, 2026",6:04 PM,179,403,41,27,1,13,0,22.91,0:09,37:57,40.9
How to play greedy piggies explained by pigs 🐖 #gamedev #indiegames #gamingmemes,"Mar 8, 2026",6:03 PM,93,203,38,19,0,18,1,40.86,0:16,33:28,37.6
"POV: You’re walking into the studio that’s building the next game to go on your wishlist! 🤫 We're keeping the gameplay under wraps for a little longer, but here is where it’s all going down! . . . #indiedev #screenshotsaturday #gamedev #unrealengine #gaming","Feb 17, 2026",6:03 PM,401,731,56,39,0,17,0,13.97,0:08,1:20:02,40.3
The chosen level theme is here ! Which one is your favourite ? ⬇️ #gamedev #indie #leveldesign,"Mar 5, 2026",6:04 PM,114,200,28,13,0,15,0,24.56,0:09,23:00,37.9
"The Secret To Making Levels In A Game. #GameDev, #Gaming, #IndieDev","Feb 27, 2026",6:04 PM,172,314,26,23,0,3,0,15.12,0:14,55:05,44.1
